date,rolling_average_cases_per_100k_centered,region
2020-06-03,6.787682646875264,Nationwide
2020-06-04,6.750949889202012,Nationwide
2020-06-05,6.605455091925139,Nationwide
2020-06-06,6.564674767351871,Nationwide
2020-06-07,6.5833458017616175,Nationwide
2020-06-08,6.640838660631719,Nationwide
2020-06-09,6.539518921457156,Nationwide
2020-06-10,6.649456061128525,Nationwide
2020-06-11,6.758783889653654,Nationwide
2020-06-12,6.833511549517366,Nationwide
2020-06-13,7.217421093872529,Nationwide
2020-06-14,7.43420529525934,Nationwide
2020-06-15,7.737772812760446,Nationwide
2020-06-16,8.118026490238176,Nationwide
2020-06-17,8.433388530641475,Nationwide
2020-06-18,8.781479284042742,Nationwide
2020-06-19,9.175485984535577,Nationwide
2020-06-20,9.599523020093034,Nationwide
2020-06-21,10.197779521250052,Nationwide
2020-06-22,10.77462308783925,Nationwide
2020-06-23,11.434158881417998,Nationwide
2020-06-24,12.00821702562439,Nationwide
2020-06-25,12.507895687764922,Nationwide
2020-06-26,12.843626129342487,Nationwide
2020-06-27,13.371594237558387,Nationwide
2020-06-28,13.92515341391632,Nationwide
2020-06-29,14.50861235866468,Nationwide
2020-06-30,15.002937787163257,Nationwide
2020-07-01,15.205707832186576,Nationwide
2020-07-02,15.29471078176217,Nationwide
2020-07-03,15.669959403395794,Nationwide
2020-07-04,15.93888323001075,Nationwide
2020-07-05,16.33571887511112,Nationwide
2020-07-06,16.70191487400063,Nationwide
2020-07-07,17.088566318513866,Nationwide
2020-07-08,17.69548374239242,Nationwide
2020-07-09,18.41425328383052,Nationwide
2020-07-10,18.83276299684709,Nationwide
2020-07-11,19.35119973784684,Nationwide
2020-07-12,19.604847263581096,Nationwide
2020-07-13,19.887480590986424,Nationwide
2020-07-14,20.150224261689534,Nationwide
2020-07-15,20.15979915113043,Nationwide
2020-07-16,20.199360853411218,Nationwide
2020-07-17,20.21777075447258,Nationwide
2020-07-18,20.0571302229892,Nationwide
2020-07-19,20.012041198167523,Nationwide
2020-07-20,19.797955374714057,Nationwide
2020-07-21,19.649979810627496,Nationwide
2020-07-22,19.655507133168378,Nationwide
2020-07-23,19.44533830994073,Nationwide
2020-07-24,19.235604708960395,Nationwide
2020-07-25,19.033095797285466,Nationwide
2020-07-26,18.850215408964367,Nationwide
2020-07-27,18.79489866133084,Nationwide
2020-07-28,18.506433355811502,Nationwide
2020-07-29,18.189809170891,Nationwide
2020-07-30,17.936074600707276,Nationwide
2020-07-31,17.525137754793953,Nationwide
2020-08-01,17.27214306243066,Nationwide
2020-08-02,16.911082686059455,Nationwide
2020-08-03,16.420413124438312,Nationwide
2020-08-04,16.144786875214727,Nationwide
2020-08-05,15.878169726510531,Nationwide
2020-08-06,15.679969515084002,Nationwide
2020-08-07,15.488254115142444,Nationwide
2020-08-08,15.282916258859974,Nationwide
2020-08-09,15.08998223662594,Nationwide
2020-08-10,14.84142681118525,Nationwide
2020-08-11,14.517839070307726,Nationwide
2020-08-12,14.33178155958124,Nationwide
2020-08-13,13.987390195282138,Nationwide
2020-08-14,13.90569897946141,Nationwide
2020-08-15,13.537762091582652,Nationwide
2020-08-16,13.245684441410615,Nationwide
2020-08-17,12.972930659019305,Nationwide
2020-08-18,12.797753704475657,Nationwide
2020-08-19,12.554420946002724,Nationwide
