sampling_week,normalized_concentration_rolling_average,population,region
2021-09-22,416.5356256903997,"5,000,000-10,000,000",Nationwide
2021-09-29,405.2835273596398,"5,000,000-10,000,000",Nationwide
2021-10-06,379.8267946737325,"5,000,000-10,000,000",Nationwide
2021-10-13,343.1268000507442,"5,000,000-10,000,000",Nationwide
2021-10-20,297.73960542877444,"5,000,000-10,000,000",Nationwide
2020-03-04,,"10,000-20,000",Midwest
2020-03-25,0.0,"10,000-20,000",Midwest
2020-04-01,1.427478255599948,<2000,Midwest
2020-04-08,37.46031449941529,"20,000-50,000",Midwest
2020-04-15,286.89939918043007,"100,000-200,000",Midwest
2020-04-22,337.1563522799864,"2,000,000-5,000,000",Midwest
2020-04-29,305.26312278166324,"100,000-200,000",Midwest
2020-05-06,81.06910568142422,"20,000-50,000",Midwest
2020-05-13,70.55952525404386,"200,000-500,000",Midwest
2020-05-20,103.65436262056848,"2,000,000-5,000,000",Midwest
2020-05-27,106.79855772897156,"2,000,000-5,000,000",Midwest
2020-06-03,152.64672524708715,"2,000,000-5,000,000",Midwest
2020-06-10,155.2649568213892,"2,000,000-5,000,000",Midwest
2020-06-17,146.7691819127106,"2,000,000-5,000,000",Midwest
2020-06-24,84.66523274507878,"2,000,000-5,000,000",Midwest
2020-07-01,72.42967874181171,"2,000,000-5,000,000",Midwest
2020-07-08,106.9943614980967,"200,000-500,000",Midwest
2020-07-15,133.51319195822137,"2,000,000-5,000,000",Midwest
2020-07-22,143.91861508269065,"2,000,000-5,000,000",Midwest
2020-07-29,150.06131484942077,"200,000-500,000",Midwest
2020-08-05,154.567534148158,"2,000,000-5,000,000",Midwest
2020-08-12,159.78219221799262,"2,000,000-5,000,000",Midwest
2020-08-19,150.11092689162157,"2,000,000-5,000,000",Midwest
2020-08-26,140.00929153916607,"2,000,000-5,000,000",Midwest
2020-09-02,134.44275594292264,"2,000,000-5,000,000",Midwest
2020-09-09,115.25057117023864,"2,000,000-5,000,000",Midwest
2020-09-16,109.6380380935043,"2,000,000-5,000,000",Midwest
2020-09-23,103.5796378897176,"2,000,000-5,000,000",Midwest
2020-09-30,117.61242583742342,"2,000,000-5,000,000",Midwest
2020-10-07,154.0600210645695,"2,000,000-5,000,000",Midwest
2020-10-14,244.08622533038337,"2,000,000-5,000,000",Midwest
2020-10-21,361.5075353018146,"2,000,000-5,000,000",Midwest
2020-10-28,506.2740902256649,"2,000,000-5,000,000",Midwest
2020-11-04,660.037020893673,"2,000,000-5,000,000",Midwest
2020-11-11,875.170616796472,"2,000,000-5,000,000",Midwest
2020-11-18,960.3187350598332,"2,000,000-5,000,000",Midwest
2020-11-25,935.2740398827996,"2,000,000-5,000,000",Midwest
2020-12-02,742.6669028461874,"2,000,000-5,000,000",Midwest
2020-12-09,736.482163876814,"2,000,000-5,000,000",Midwest
2020-12-16,873.1470494890303,"2,000,000-5,000,000",Midwest
2020-12-23,882.9445852567092,"200,000-500,000",Midwest
2020-12-30,953.2391857890432,"2,000,000-5,000,000",Midwest
2021-01-06,651.6597763769987,"100,000-200,000",Midwest
2021-01-20,674.4872817325339,"100,000-200,000",Midwest
2021-01-27,437.7780761045152,"100,000-200,000",Midwest
2021-02-03,378.9854005263055,"100,000-200,000",Midwest
2021-02-10,216.88945413608653,"100,000-200,000",Midwest
2021-02-17,113.59818459515007,"100,000-200,000",Midwest
2021-02-24,123.61471270272966,"100,000-200,000",Midwest
2021-03-03,89.28669344644656,"100,000-200,000",Midwest
2021-03-10,96.97714559859384,"100,000-200,000",Midwest
2021-03-17,83.29113526128442,"100,000-200,000",Midwest
2021-03-24,100.04949312763088,"100,000-200,000",Midwest
2021-03-31,126.38812889502212,"100,000-200,000",Midwest
2021-04-07,175.41749509102624,"100,000-200,000",Midwest
2021-04-14,201.2137162140535,"20,000-50,000",Midwest
2021-04-21,199.08805992736453,"100,000-200,000",Midwest
2021-04-28,160.76408591860283,"200,000-500,000",Midwest
2021-05-05,133.0203616304368,"200,000-500,000",Midwest
2021-05-12,103.30602036916363,"200,000-500,000",Midwest
2021-05-19,76.61416539142833,"200,000-500,000",Midwest
2021-05-26,47.13183229419722,"50,000-100,000",Midwest
2021-06-02,21.24603778971173,"200,000-500,000",Midwest
2021-06-09,21.937444414056987,"2,000,000-5,000,000",Midwest
2021-06-16,23.26427301968626,"2,000,000-5,000,000",Midwest
2021-06-23,24.067977195003,"2,000,000-5,000,000",Midwest
2021-06-30,24.60728688944838,"2,000,000-5,000,000",Midwest
2021-07-07,23.362961597647026,"2,000,000-5,000,000",Midwest
2021-07-14,37.76356472764434,"2,000,000-5,000,000",Midwest
2021-07-21,62.99021168246973,"2,000,000-5,000,000",Midwest
2021-07-28,99.11073745815986,"2,000,000-5,000,000",Midwest
2021-08-04,134.19144705432154,"2,000,000-5,000,000",Midwest
2021-08-11,168.81288827528525,"2,000,000-5,000,000",Midwest
2021-08-18,271.7804461199358,"2,000,000-5,000,000",Midwest
2021-08-25,346.2771027605914,"200,000-500,000",Midwest
2021-09-01,410.8854278426577,"200,000-500,000",Midwest
2021-09-08,377.2195180966148,"200,000-500,000",Midwest
2021-09-15,378.2615798331319,"200,000-500,000",Midwest
2021-09-22,354.7824061586655,"200,000-500,000",Midwest
2021-09-29,377.31281814812246,"200,000-500,000",Midwest
2021-10-06,328.4768607046722,"200,000-500,000",Midwest
2021-10-13,247.54280319140275,"200,000-500,000",Midwest
2021-10-20,168.39020991502048,"200,000-500,000",Midwest
2020-03-04,4.350546343900647,"2,000,000-5,000,000",Northeast
2020-03-11,16.479595861248306,"2,000,000-5,000,000",Northeast
2020-03-18,594.1043383073226,"2,000,000-5,000,000",Northeast
2020-03-25,732.5747080507566,"2,000,000-5,000,000",Northeast
2020-04-01,1471.5738898356688,"2,000,000-5,000,000",Northeast
2020-04-08,1477.760891008478,"2,000,000-5,000,000",Northeast
2020-04-15,2298.024863333528,"2,000,000-5,000,000",Northeast
2020-04-22,1656.0367037343567,"2,000,000-5,000,000",Northeast
2020-04-29,1128.5917200510814,"2,000,000-5,000,000",Northeast
